x,y,z,scaled_x,scaled_y,scaled_z
-4.54776e-06,9.39635e-07,-0.375382,-3.3471e-309,-1.74032e-315,-4.94066e-324
-3.91965e-06,9.48327e-07,-0.375382,-2.85837e-309,-1.75642e-315,-4.94066e-324
-3.52332e-06,8.65638e-07,-0.375382,-2.81479e-309,-1.60327e-315,-4.94066e-324
-2.94978e-06,7.16488e-07,-0.375383,-2.84715e-309,-1.32702e-315,-4.94066e-324
-1.43405e-06,8.42903e-07,-0.375384,-1.17657e-309,-1.56115e-315,-4.94066e-324
-7.89645e-07,1.31683e-06,-0.375384,-4.14698e-310,-2.43892e-315,-4.94066e-324
-1.02464e-06,1.6717e-06,-0.375384,-4.23881e-310,-3.09617e-315,-4.94066e-324
-2.28756e-06,1.30329e-06,-0.375383,-1.21384e-309,-2.41385e-315,-4.94066e-324
-2.57748e-06,1.5474e-06,-0.375383,-1.15193e-309,-2.86596e-315,-4.94066e-324
-1.50966e-06,1.99339e-06,-0.375384,-5.23741e-310,-3.69199e-315,-4.94066e-324
-8.53075e-07,1.98239e-06,-0.375384,-2.97597e-310,-3.6716e-315,-4.94066e-324
-7.2239e-07,2.06111e-06,-0.375384,-2.42383e-310,-3.8174e-315,-4.94066e-324
-7.32176e-07,2.13889e-06,-0.375384,-2.36732e-310,-3.96147e-315,-4.94066e-324
-7.73236e-07,2.11604e-06,-0.375384,-2.52708e-310,-3.91914e-315,-4.94066e-324
-7.54029e-07,2.33658e-06,-0.375384,-2.23171e-310,-4.32761e-315,-4.94066e-324
-7.36369e-07,2.44949e-06,-0.375385,-2.07898e-310,-4.53673e-315,-4.94066e-324
-8.67653e-07,2.62056e-06,-0.375385,-2.28972e-310,-4.85357e-315,-4.94066e-324
-9.37413e-07,2.78712e-06,-0.375385,-2.32597e-310,-5.16206e-315,-4.94066e-324
-9.57184e-07,3.09449e-06,-0.375385,-2.13912e-310,-5.73134e-315,-4.94066e-324
-1.00675e-06,3.56809e-06,-0.375384,-1.95126e-310,-6.6085e-315,-4.94066e-324
-1.0977e-06,3.74005e-06,-0.375384,-2.02971e-310,-6.927e-315,-4.94066e-324
-1.27498e-06,3.75528e-06,-0.375384,-2.34796e-310,-6.9552e-315,-4.94066e-324
-1.42709e-06,0.004433,-0.375384,-2.2263e-310,-8.21041e-315,-4.94066e-324
-1.52448e-06,5.27511e-06,-0.375384,-1.99857e-310,-9.77009e-315,-4.94066e-324
-1.58186e-06,5.32198e-06,-0.375384,-2.05554e-310,-9.85691e-315,-4.94066e-324
-1.58015e-06,4.98779e-06,-0.375384,-2.1909e-310,-9.23794e-315,-4.94066e-324
-1.69364e-06,6.33386e-06,-0.375384,-1.84919e-310,-1.1731e-314,-4.94066e-324
-1.81544e-06,7.52094e-06,-0.375384,-1.66932e-310,-1.39296e-314,-4.94066e-324
-2.20065e-06,8.13341e-06,-0.375384,-1.87115e-310,-1.5064e-314,-4.94066e-324
-2.45347e-06,7.85557e-06,-0.375384,-2.1599e-310,-1.45494e-314,-4.94066e-324
-2.84685e-06,1.00967e-05,-0.375384,-1.94991e-310,-1.87003e-314,-4.94066e-324
-3.04116e-06,1.09708e-05,-0.375384,-1.91705e-310,-2.03191e-314,-4.94066e-324
-4.02836e-06,1.37826e-05,-0.375385,-2.02128e-310,-2.55269e-314,-4.94066e-324
-5.20074e-06,1.71704e-05,-0.375385,-2.09467e-310,-3.18015e-314,-4.94066e-324
-7.91819e-06,1.98224e-05,-0.375385,-2.76248e-310,-3.67134e-314,-4.94066e-324
-9.16171e-06,1.95192e-05,-0.375385,-3.24596e-310,-3.61518e-314,-4.94066e-324
-8.74102e-06,1.69774e-05,-0.375385,-3.56058e-310,-3.1444e-314,-4.94066e-324
-9.42308e-06,1.57579e-05,-0.375385,-4.13548e-310,-2.91853e-314,-4.94066e-324
-9.76925e-06,1.81869e-05,-0.375385,-3.71478e-310,-3.36841e-314,-4.94066e-324
-7.41474e-06,1.73976e-05,-0.375385,-2.94738e-310,-3.22224e-314,-4.94066e-324
-5.06779e-06,2.10161e-05,-0.375384,-1.66761e-310,-3.89242e-314,-4.94066e-324
-4.06172e-06,2.28391e-05,-0.375384,-1.22987e-310,-4.23006e-314,-4.94066e-324
-3.77829e-06,2.94757e-05,-0.375384,-8.86465e-311,-5.45923e-314,-4.94066e-324
-3.41424e-06,3.14195e-05,-0.375384,-7.51494e-311,-5.81924e-314,-4.94066e-324
-3.2848e-06,3.00735e-05,-0.375384,-7.55364e-311,-5.56994e-314,-4.94066e-324
-3.19369e-06,3.26421e-05,-0.375384,-6.7662e-311,-6.04569e-314,-4.94066e-324
-3.0227e-06,3.55718e-05,-0.375384,-5.8765e-311,-6.5883e-314,-4.94066e-324
-2.64607e-06,3.71028e-05,-0.375384,-4.93201e-311,-6.87186e-314,-4.94066e-324
-0.002332,3.78908e-05,-0.375384,-4.25623e-311,-7.01779e-314,-4.94066e-324
-2.41099e-06,3.74151e-05,-0.375384,-4.45634e-311,-6.92969e-314,-4.94066e-324
-2.66237e-06,3.62749e-05,-0.375384,-5.07564e-311,-6.71853e-314,-4.94066e-324
-3.01958e-06,3.92301e-05,-0.375384,-5.32302e-311,-7.26585e-314,-4.94066e-324
-2.28291e-06,4.0345e-05,-0.375384,-3.91317e-311,-7.47235e-314,-4.94066e-324
-1.66633e-06,3.95733e-05,-0.375384,-2.91198e-311,-7.32942e-314,-4.94066e-324
-1.04343e-06,3.75203e-05,-0.375384,-1.92321e-311,-6.94917e-314,-4.94066e-324
-7.62563e-07,3.90658e-05,-0.375384,-1.34992e-311,-7.23542e-314,-4.94066e-324
-8.62104e-07,3.79811e-05,-0.375384,-1.56972e-311,-7.03452e-314,-4.94066e-324
-8.68358e-07,3.67291e-05,-0.375384,-1.635e-311,-6.80264e-314,-4.94066e-324
-1.1448e-06,3.95613e-05,-0.375384,-2.00119e-311,-7.3272e-314,-4.94066e-324
-1.38656e-06,4.03396e-05,-0.375384,-2.37704e-311,-7.47135e-314,-4.94066e-324
